ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status do imposto","Classe de imposto","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Observação de compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de downloads","Dias para expirar o download",Ascendente,"Grupo de produtos",Upsells,"Venda cruzada","URL externa","Texto do botão",Posição,Marcas,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Atributo padrão 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2"
1168,variable,,,"Uniforme Specialized Custom Fit Edição Limitada",1,0,visible,"Para maiores informações entre em contato em contato@powerhousebrasil.com","<img class=""alignnone wp-image-1536 size-full"" src=""https://powerhousebrasil.com.br/wp-content/uploads/2019/08/Uniforme-OCE-Specialized-cabuloso.png"" alt="""" width=""338"" height=""571"" />",,,taxable,,1,10,,0,0,1,24,10,35,0,,,,Vestuário,,,"https://powerhousebrasil.com.br/wp-content/uploads/2019/08/Uniforme-OCE-Specialized-cabuloso-e1574262170980.png, https://powerhousebrasil.com.br/wp-content/uploads/2019/08/Uniforme-OCE-Specialized-cabuloso-e1574262170980.png, https://powerhousebrasil.com.br/wp-content/uploads/2019/08/Foto-cortada-1.jpg",,,,,,,,,99,,Tamanho,"G, M, P",1,1,,,,,
1456,simple,,,"Polén protein Smoothie Frutas Vermelhas - 350g",1,0,visible,,"Na alquimia desenvolvida para pós-treino ou como lanche super nutritivo, associamos: o pólen, que é um dos alimentos naturais mais ricos em aminoácidos e essencial para o reparo muscular, regulador das funções intestinais, atuante no sistema imunológico; precisa combinação de frutas vermelhas ricas em antioxidantes e minerais essenciais à recuperação muscular; a eles foi associado o probiótico de nossa produção, o que contribui para a digestão e assimilação expandida de antioxidantes, além de proporcionar melhor e mais natural absorção dos alimentos que os contenham.
\n
\n&nbsp;
\n
\nSMART CARB recebe um aporte de vitamina C para a rápida recuperação rápida durante a atividade física.",,,taxable,,1,23,,0,0,0.350,23,12,6,0,,,"88,50","Alquimia da Saúde",,pac,"https://powerhousebrasil.com.br/wp-content/uploads/2020/01/6d2ec139-e900-476b-90ee-25b1ec62f787.jpg, https://powerhousebrasil.com.br/wp-content/uploads/2020/01/ebcb4224-e332-4b7c-8bfd-ce6a7f6936af.jpg",,,,,,,,,71,,,,,,,,,,
1466,variable,,,"Palatinose Gel (Box c/15 sachês)",1,0,visible,"Palatinose é a fonte de carboidrato mais eficiente para entregar energia à prática esportiva, cujo diferencial é o baixo índice glicêmico (32), sua rápida absorção e maior duração no organismo, o que proporciona energia equilibrada.
\n
\n&nbsp;
\n
\nSMART CARB recebe um aporte de vitamina C para a rápida recuperação rápida durante a atividade física.","Palatinose é a fonte de carboidrato mais eficiente para entregar energia à prática esportiva, cujo diferencial é o baixo índice glicêmico (32), sua rápida absorção e maior duração no organismo, o que proporciona energia equilibrada.
\n
\n&nbsp;
\n
\nSMART CARB recebe um aporte de vitamina C para a rápida recuperação rápida durante a atividade física.",,,none,,1,2,,0,0,1,18,12,9,0,,,,"Alquimia da Saúde",,pac,https://powerhousebrasil.com.br/wp-content/uploads/2019/11/PALATINOSEJUNTOS.png,,,,,,,,,72,,Sabores,"MORANGO, ABACAXI, VANILLA",1,0,VANILLA,Sabores,"Abacaxi, Morango, Vanilla",1,1
1471,simple,,,"CO Q10 - SMART BLEND",1,0,visible,,"<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-100"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div>
\n<h2><strong>COENZIMA Q10 E AÇAÍ</strong></h2>
\n</div></td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"" align=""center"">
\n<tbody>
\n<tr>
\n<td></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""center""><img class=""v-src-width v-src-max-width"" title="""" src=""https://assets.unlayer.com/projects/0/1728045794204-mockup3d.png"" alt="""" width=""880"" align=""center"" border=""0"" /></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"" align=""center"">
\n<tbody>
\n<tr>
\n<td></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div>
\n
\nO Energia CO-Q10 Smart Blend é uma fórmula exclusiva Alquimia da Saúde, que combina açaí liofilizado, Coenzima Q10 e vitaminas do complexo B para oferecer mais energia, proteção celular e vitalidade. Ele promove maior absorção de nutrientes, combate o estresse oxidativo e apoia a saúde cardiovascular e cerebral. Ideal para quem busca disposição e bem-estar no dia a dia. [5]
\n
\n<strong>A Fórmula Revolucionária para Quem Quer Mais Energia e Vitalidade: Açaí Liofilizado, Coenzima Q10 e Vitaminas do Complexo B</strong>
\n
\nA coenzima Q10 (CoQ10) é uma substância que possui propriedades antioxidantes e é considerada peça fundamental na geração de energia no organismo. Popularmente conhecida, é um dos suplementos alimentares mais consumidos do mundo.
\n
\nCombinando o poder do <strong>açaí liofilizado</strong>, a força da <strong>Coenzima Q10</strong> e o suporte essencial das <strong>vitaminas do complexo B</strong>, essa inovação exclusiva no mercado brasileiro foi desenvolvida para <strong>quem quer mais disposição, vitalidade e saúde.</strong> [4]
\n
\n</div></td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div align=""center""><a class=""v-button"" href=""https://www.alquimiadasaude.com.br/energia-co-q10-smart-blend-60-capsulas#comprar"" target=""_self"" rel=""noopener"">APROVEITE AGORA!</a></div></td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""center""><img class=""v-src-width v-src-max-width"" title="""" src=""https://assets.unlayer.com/projects/0/1728045866753-fotos%20coq10%20para%20site.png"" alt="""" width=""880"" align=""center"" border=""0"" /></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"" align=""center"">
\n<tbody>
\n<tr>
\n<td></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-50"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""center""><img class=""v-src-width v-src-max-width"" title="""" src=""https://assets.unlayer.com/projects/0/1728052219479-NOVAFORMULAenergiacoq10mockuppoteantigo%20copy.png"" alt="""" width=""365.5"" align=""center"" border=""0"" /></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n<div class=""u-col u-col-50"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<h1>Coenzima Q10: O Combustível das Suas Células</h1>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div>
\n
\nA CoQ10 desempenha um papel essencial na síntese de energia celular na forma de ATP, o que pode auxiliar e potencializar a performance eficiente durante as atividades físicas. [6] Estudos apontam que a presença de CoQ10 no organismo contribui para a redução do estresse oxidativo e consequentemente da fadiga, melhorando o rendimento nos treinos. [5]
\n
\nPor ser um forte antioxidante e potencializador da função mitocondrial, estudos mostram que a CoQ10 auxilia na prevenção de doenças cardiovasculares, prevenindo a formação de placas ateroscleróticas nas artérias e melhorando a função cardíaca. [7]
\n
\n</div></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-100"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div>
\n
\nAlém disso, é responsável em preservar as células contra danos oxidativos causados pelos radicais livres, prevenindo o envelhecimento precoce e doenças neurodegenerativas. No caso de atletas de alta performance, a suplementação de CoQ10 é especialmente importante no combate ao envelhecimento precoce.
\nO corpo humano naturalmente produz a CoQ10, porém na fase adulta, principalmente a partir dos 30 anos, com o processo de envelhecimento o organismo humano diminui a produção desta substância sendo recomendado formas de reposição. [8]
\n
\n&nbsp;
\n
\nÀ medida que envelhecemos, nossa produção interna de CoQ10 diminui e enfrentamos uma crise de energia.
\n
\n</div></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-100"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<h1></h1>
\n<h3><strong>O QUE OS ESTUDOS CIENTÍFICOS DIZEM</strong></h3>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-50"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<h1>O Poder do Açaí Liofilizado: O Segredo da Natureza para a sua Energia</h1>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div>
\n
\nO <strong>açaí liofilizado</strong> é um verdadeiro tesouro da Amazônia. Rico em <strong>antioxidantes</strong> poderosos, como as antocianinas, ele combate os radicais livres e preserva a saúde celular. [9]
\n
\n&nbsp;
\n
\nA liofilização mantém todas as propriedades do açaí fresco, entregando um produto com nutrientes altamente concentrados. Isso significa que você vai sentir toda a força desse superalimento em cada dose, ajudando a melhorar a <strong>oxigenação celular </strong>e a promover mais energia para as suas atividades diárias. [1]
\n
\n</div></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n<div class=""u-col u-col-50"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""center""><img class=""v-src-width v-src-max-width"" title="""" src=""https://assets.unlayer.com/projects/0/1728045904924-foto%20acai.jpg"" alt="""" width=""430"" align=""center"" border=""0"" /></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-50"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""center""><img class=""v-src-width v-src-max-width"" title="""" src=""https://assets.unlayer.com/projects/0/1728046336445-foto%20vita%20grupo%20b.jpg"" alt="""" width=""430"" align=""center"" border=""0"" /></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n<div class=""u-col u-col-50"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<h1>Vitaminas do Complexo B: Energia Natural para o Dia a Dia</h1>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div>
\n
\nVitaminas do Complexo B: Energia Natural para o Dia a Dia
\nPara completar essa combinação perfeita, adicionamos as <strong>vitaminas do complexo B</strong>, que são essenciais para o bom funcionamento do seu corpo [3].
\n
\nEssas vitaminas transformam os alimentos que você consome em energia, além de apoiar o sistema nervoso, ajudando você a <strong>sentir-se mais disposto e focado</strong>. Elas também contribuem para a saúde cardiovascular e ajudam a combater a fadiga.
\n<ul>
\n 	<li><strong>Vitamina B1 (Tiamina):</strong> Importante para o metabolismo de carboidratos e para o bom funcionamento do coração.</li>
\n 	<li><strong>Vitamina B2 (Riboflavina):</strong> Essencial para a produção de energia e para manter a pele e os olhos saudáveis.</li>
\n 	<li><strong>Vitamina B3 (Niacina):</strong> Melhora a circulação e promove a saúde cardiovascular.</li>
\n 	<li><strong>Vitamina B5 (Ácido Pantotênico):</strong> Vital para a produção de hormônios e o metabolismo de gorduras e proteínas, ajudando a combater o estresse e aumentar a energia.</li>
\n 	<li><strong>Vitamina B6:</strong> Fundamental para o metabolismo de proteínas e para a função cerebral.</li>
\n</ul>
\n</div></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-100"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div align=""center""><a class=""v-button"" href=""https://www.alquimiadasaude.com.br/energia-co-q10-smart-blend-60-capsulas#comprar"" target=""_self"" rel=""noopener"">COMPRAR AGORA!</a></div></td>
\n</tr>
\n</tbody>
\n</table>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"" align=""center"">
\n<tbody>
\n<tr>
\n<td></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-16p67"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""center""><img class=""v-src-width v-src-max-width"" title="""" src=""https://www.alquimiadasaude.com.br/wp-content/uploads/2020/08/planta.png"" alt="""" width=""64"" align=""center"" border=""0"" /></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n<div class=""u-col u-col-33p33"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div>
\n
\n<strong>Ingredientes:</strong>
\nCoenzima q10, nac, açaí liofilizado, e vitaminas do grupo B.
\n<strong>NÃO CONTÉM GLÚTEN. NÃO CONTÉM LACTOSE.</strong>
\n
\n</div></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n<div class=""u-col u-col-16p67"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""center""><img class=""v-src-width v-src-max-width"" title="""" src=""https://www.alquimiadasaude.com.br/wp-content/uploads/2020/08/cuidado.png"" alt="""" width=""76"" align=""center"" border=""0"" /></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n<div class=""u-col u-col-33p33"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div>
\n
\n<strong>Recomendação de uso:</strong>
\nIngerir 1 a 2 cápsulas ao dia. Consumir, preferencialmente, sob orientação de nutricionista ou médico.
\n
\n</div></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-100"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"" align=""center"">
\n<tbody>
\n<tr>
\n<td></td>
\n</tr>
\n</tbody>
\n</table>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div class=""u-col u-col-44"">
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">Porções por embalagem: 60
\n
\nPorção: 0,360 g (1 cápsula)</td>
\n</tr>
\n</tbody>
\n</table>
\n<table style=""height: 72px;"" role=""presentation"" border=""0"" width=""971"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left""></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n<div class=""u-col u-col-56"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<div>
\n
\n<strong>Estudos Científicos que Comprovam os Benefícios:</strong>
\n<ol>
\n 	<li><strong>Estudo sobre os antioxidantes do açaí:</strong>
\n""Antioxidant activity of Acai (Euterpe oleracea Mart.) against hydrogen peroxide-induced oxidative stress in mouse brain cells""
\nAcesse em: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3270423/"">https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3270423/</a></li>
\n 	<li><strong>Absorção e eficácia da Coenzima Q10:</strong>
\n""Coenzyme Q10: Clinical applications in cardiovascular diseases""
\nAcesse em: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3775248/"">https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3775248/</a></li>
\n 	<li><strong>Vitamina B e produção de energia:</strong>
\n""The Role of B Vitamins in Energy Metabolism and Well-being""
\nAcesse em: <a href=""https://pubmed.ncbi.nlm.nih.gov/25923505/"">https://pubmed.ncbi.nlm.nih.gov/25923505/</a></li>
\n 	<li><strong>Sinergia entreAçaí e Coenzima Q10 para saúde celular:</strong>
\n""Antioxidant and Anti-inflammatory Potential of Açaí and Coenzyme Q10""<strong> </strong>
\nAcesse em: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6164841/"">https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6164841/</a></li>
\n 	<li><strong>GARRIDO-MARAVER</strong>, Juan et al. Coenzyme q10 therapy. Molecular syndromology, v. 5, n. 3-4, p. 187-197, 2014.</li>
\n 	<li><strong>CABALLERO</strong>, Benjamin. Encyclopedia of human nutrition. Elsevier, 2005.</li>
\n 	<li><strong>JAFARI</strong>, Mehdi et al. Coenzyme Q10 in the treatment of heart failure: A systematic review of systematic reviews. Indian heart journal, v. 70, p. S111-S117, 2018.</li>
\n 	<li><strong>DINICOLANTONIO</strong>, James J.; MCCARTY, Mark F.; O’KEEFE, James H. Coenzyme Q10 deficiency can be expected to compromise Sirt1 activity. Open Heart, v. 9, n. 1, p. e001927, 2022.</li>
\n 	<li><strong>Antocianinas e saúde cardiovascular:</strong>
\n""Antioxidant activity and beneficial health effects of anthocyanins""
\nAcesse em: <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1082894/"">https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1082894/</a></li>
\n</ol>
\n</div></td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
\n</div>
\n</div>
\n<div class=""u-row-container"">
\n<div class=""u-row"">
\n<div>
\n<div class=""u-col u-col-100"">
\n<div>
\n<div>
\n<table role=""presentation"" border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
\n<tbody>
\n<tr>
\n<td align=""left"">
\n<h1>Garanta o seu agora e descubra o segredo para viver com mais energia!</h1>
\n</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>
\n</div>
